date,MYS,VNM,PHL
2020-01-03,0.0,0.0,0.0
2020-01-04,0.0,0.0,0.0
2020-01-05,0.0,0.0,0.0
2020-01-06,0.0,0.0,0.0
2020-01-07,0.0,0.0,0.0
2020-01-08,0.0,0.0,0.0
2020-01-09,0.0,0.0,0.0
2020-01-10,0.0,0.0,0.0
2020-01-11,0.0,0.0,0.0
2020-01-12,0.0,0.0,0.0
2020-01-13,0.0,0.0,0.0
2020-01-14,0.0,0.0,0.0
2020-01-15,0.0,0.0,0.0
2020-01-16,0.0,0.0,0.0
2020-01-17,0.0,0.0,0.0
2020-01-18,0.0,0.0,0.0
2020-01-19,0.0,0.0,0.0
2020-01-20,0.0,0.0,0.0
2020-01-21,0.0,0.0,0.0
2020-01-22,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0
2020-02-02,0.0,0.0,1.0
2020-02-03,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0
2020-03-12,0.0,0.0,1.0
2020-03-13,0.0,0.0,3.0
2020-03-14,0.0,0.0,3.0
2020-03-15,0.0,0.0,3.0
2020-03-16,0.0,0.0,1.0
2020-03-17,2.0,0.0,0.0
2020-03-18,0.0,0.0,5.0
2020-03-19,0.0,0.0,0.0
2020-03-20,1.0,0.0,1.0
2020-03-21,1.0,0.0,1.0
2020-03-22,6.0,0.0,6.0
2020-03-23,0.0,0.0,0.0
2020-03-24,4.0,0.0,8.0
2020-03-25,2.0,0.0,2.0
2020-03-26,3.0,0.0,3.0
2020-03-27,4.0,0.0,7.0
2020-03-28,3.0,0.0,9.0
2020-03-29,1.0,0.0,14.0
2020-03-30,7.0,0.0,3.0
2020-03-31,3.0,0.0,17.0
2020-04-01,6.0,0.0,0.0
2020-04-02,2.0,0.0,8.0
2020-04-03,5.0,0.0,11.0
2020-04-04,3.0,0.0,29.0
2020-04-05,4.0,0.0,8.0
2020-04-06,4.0,0.0,8.0
2020-04-07,1.0,0.0,11.0
2020-04-08,1.0,0.0,14.0
2020-04-09,2.0,0.0,5.0
2020-04-10,2.0,0.0,21.0
2020-04-11,3.0,0.0,18.0
2020-04-12,3.0,0.0,26.0
2020-04-13,3.0,0.0,50.0
2020-04-14,1.0,0.0,18.0
2020-04-15,5.0,0.0,20.0
2020-04-16,1.0,0.0,14.0
2020-04-17,1.0,0.0,13.0
2020-04-18,2.0,0.0,25.0
2020-04-19,2.0,0.0,10.0
2020-04-20,1.0,0.0,12.0
2020-04-21,0.0,0.0,19.0
2020-04-22,3.0,0.0,9.0
2020-04-23,1.0,0.0,9.0
2020-04-24,2.0,0.0,16.0
2020-04-25,1.0,0.0,15.0
2020-04-26,2.0,0.0,17.0
2020-04-27,0.0,0.0,7.0
2020-04-28,1.0,0.0,10.0
2020-04-29,1.0,0.0,19.0
2020-04-30,0.0,0.0,28.0
2020-05-01,2.0,0.0,10.0
2020-05-02,1.0,0.0,11.0
2020-05-03,0.0,0.0,24.0
2020-05-04,2.0,0.0,4.0
2020-05-05,0.0,0.0,16.0
2020-05-06,1.0,0.0,14.0
2020-05-07,1.0,0.0,21.0
2020-05-08,0.0,0.0,27.0
2020-05-09,0.0,0.0,11.0
2020-05-10,1.0,0.0,8.0
2020-05-11,0.0,0.0,15.0
2020-05-12,1.0,0.0,7.0
2020-05-13,0.0,0.0,25.0
2020-05-14,2.0,0.0,21.0
2020-05-15,1.0,0.0,18.0
2020-05-16,0.0,0.0,16.0
2020-05-17,1.0,0.0,11.0
2020-05-18,0.0,0.0,7.0
2020-05-19,0.0,0.0,7.0
2020-05-20,1.0,0.0,6.0
2020-05-21,0.0,0.0,5.0
2020-05-22,0.0,0.0,4.0
2020-05-23,1.0,0.0,11.0
2020-05-24,0.0,0.0,6.0
2020-05-25,0.0,0.0,5.0
2020-05-26,0.0,0.0,5.0
2020-05-27,0.0,0.0,13.0
2020-05-28,0.0,0.0,18.0
2020-05-29,0.0,0.0,17.0
2020-05-30,0.0,0.0,21.0
2020-05-31,0.0,0.0,8.0
2020-06-01,0.0,0.0,7.0
2020-06-02,0.0,0.0,3.0
2020-06-03,0.0,0.0,6.0
2020-06-04,0.0,0.0,8.0
2020-06-05,0.0,0.0,10.0
2020-06-06,1.0,0.0,3.0
2020-06-07,1.0,0.0,7.0
2020-06-08,0.0,0.0,9.0
2020-06-09,0.0,0.0,8.0
2020-06-10,0.0,0.0,6.0
2020-06-11,1.0,0.0,10.0
2020-06-12,0.0,0.0,9.0
2020-06-13,1.0,0.0,16.0
2020-06-14,1.0,0.0,23.0
2020-06-15,1.0,0.0,13.0
2020-06-16,0.0,0.0,10.0
2020-06-17,0.0,0.0,5.0
2020-06-18,0.0,0.0,5.0
2020-06-19,0.0,0.0,8.0
2020-06-20,0.0,0.0,14.0
2020-06-21,0.0,0.0,20.0
2020-06-22,0.0,0.0,19.0
2020-06-23,0.0,0.0,8.0
