date,MYS,VNM,PHL
2020-01-03,0.0,0.0,0.0
2020-01-04,0.0,0.0,0.0
2020-01-05,0.0,0.0,0.0
2020-01-06,0.0,0.0,0.0
2020-01-07,0.0,0.0,0.0
2020-01-08,0.0,0.0,0.0
2020-01-09,0.0,0.0,0.0
2020-01-10,0.0,0.0,0.0
2020-01-11,0.0,0.0,0.0
2020-01-12,0.0,0.0,0.0
2020-01-13,0.0,0.0,0.0
2020-01-14,0.0,0.0,0.0
2020-01-15,0.0,0.0,0.0
2020-01-16,0.0,0.0,0.0
2020-01-17,0.0,0.0,0.0
2020-01-18,0.0,0.0,0.0
2020-01-19,0.0,0.0,0.0
2020-01-20,0.0,0.0,0.0
2020-01-21,0.0,0.0,0.0
2020-01-22,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0
2020-01-25,0.0,2.0,0.0
2020-01-26,4.0,0.0,0.0
2020-01-27,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0
2020-01-30,3.0,0.0,0.0
2020-01-31,1.0,0.0,1.0
2020-02-01,0.0,3.0,0.0
2020-02-02,0.0,1.0,0.0
2020-02-03,0.0,1.0,1.0
2020-02-04,1.0,0.0,0.0
2020-02-05,1.0,3.0,0.0
2020-02-06,2.0,0.0,1.0
2020-02-07,2.0,2.0,0.0
2020-02-08,1.0,1.0,0.0
2020-02-09,1.0,0.0,0.0
2020-02-10,1.0,1.0,0.0
2020-02-11,1.0,0.0,0.0
2020-02-12,0.0,1.0,0.0
2020-02-13,0.0,0.0,0.0
2020-02-14,1.0,1.0,0.0
2020-02-15,0.0,0.0,0.0
2020-02-16,3.0,0.0,0.0
2020-02-17,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0
2020-02-28,2.0,0.0,0.0
2020-02-29,1.0,0.0,0.0
2020-03-01,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0
2020-03-03,4.0,0.0,0.0
2020-03-04,7.0,0.0,0.0
2020-03-05,14.0,0.0,0.0
2020-03-06,5.0,0.0,0.0
2020-03-07,28.0,2.0,2.0
2020-03-08,10.0,2.0,1.0
2020-03-09,6.0,10.0,4.0
2020-03-10,18.0,1.0,10.0
2020-03-11,0.0,3.0,13.0
2020-03-12,32.0,4.0,16.0
2020-03-13,9.0,6.0,3.0
2020-03-14,39.0,3.0,12.0
2020-03-15,41.0,6.0,47.0
2020-03-16,190.0,4.0,29.0
2020-03-17,125.0,4.0,2.0
2020-03-18,120.0,5.0,45.0
2020-03-19,117.0,10.0,15.0
2020-03-20,110.0,9.0,15.0
2020-03-21,130.0,6.0,13.0
2020-03-22,153.0,3.0,77.0
2020-03-23,123.0,19.0,73.0
2020-03-24,212.0,10.0,82.0
2020-03-25,106.0,11.0,90.0
2020-03-26,172.0,7.0,84.0
2020-03-27,235.0,12.0,71.0
2020-03-28,130.0,10.0,96.0
2020-03-29,159.0,11.0,272.0
2020-03-30,150.0,14.0,343.0
2020-03-31,156.0,15.0,128.0
2020-04-01,140.0,4.0,538.0
2020-04-02,142.0,11.0,227.0
2020-04-03,208.0,15.0,322.0
2020-04-04,217.0,6.0,385.0
2020-04-05,150.0,1.0,76.0
2020-04-06,179.0,1.0,152.0
2020-04-07,131.0,4.0,414.0
2020-04-08,170.0,4.0,104.0
2020-04-09,156.0,2.0,106.0
2020-04-10,109.0,4.0,206.0
2020-04-11,118.0,2.0,119.0
2020-04-12,184.0,1.0,233.0
2020-04-13,153.0,4.0,220.0
2020-04-14,134.0,3.0,284.0
2020-04-15,170.0,1.0,291.0
2020-04-16,85.0,1.0,230.0
2020-04-17,110.0,1.0,207.0
2020-04-18,69.0,0.0,218.0
2020-04-19,54.0,0.0,209.0
2020-04-20,84.0,0.0,172.0
2020-04-21,35.0,0.0,200.0
2020-04-22,58.0,0.0,140.0
2020-04-23,50.0,0.0,111.0
2020-04-24,71.0,0.0,271.0
2020-04-25,88.0,2.0,211.0
2020-04-26,51.0,0.0,102.0
2020-04-27,38.0,0.0,285.0
2020-04-28,40.0,0.0,198.0
2020-04-29,31.0,0.0,181.0
2020-04-30,94.0,0.0,254.0
2020-05-01,57.0,0.0,276.0
2020-05-02,69.0,0.0,284.0
2020-05-03,105.0,0.0,156.0
2020-05-04,122.0,1.0,295.0
2020-05-05,55.0,0.0,262.0
2020-05-06,30.0,0.0,199.0
2020-05-07,45.0,0.0,320.0
2020-05-08,39.0,17.0,339.0
2020-05-09,68.0,0.0,120.0
2020-05-10,54.0,0.0,147.0
2020-05-11,67.0,0.0,184.0
2020-05-12,70.0,0.0,292.0
2020-05-13,16.0,0.0,264.0
2020-05-14,37.0,0.0,268.0
2020-05-15,40.0,0.0,258.0
2020-05-16,36.0,25.0,215.0
2020-05-17,17.0,5.0,214.0
2020-05-18,22.0,2.0,208.0
2020-05-19,47.0,4.0,205.0
2020-05-20,37.0,0.0,224.0
2020-05-21,31.0,0.0,279.0
2020-05-22,50.0,0.0,213.0
2020-05-23,78.0,0.0,163.0
2020-05-24,48.0,1.0,180.0
2020-05-25,60.0,0.0,258.0
2020-05-26,172.0,1.0,284.0
2020-05-27,187.0,1.0,350.0
2020-05-28,15.0,0.0,380.0
2020-05-29,10.0,0.0,539.0
2020-05-30,103.0,0.0,1046.0
2020-05-31,30.0,1.0,590.0
2020-06-01,57.0,0.0,862.0
2020-06-02,38.0,0.0,552.0
2020-06-03,20.0,0.0,359.0
2020-06-04,93.0,0.0,751.0
2020-06-05,277.0,0.0,634.0
2020-06-06,19.0,1.0,244.0
2020-06-07,37.0,0.0,714.0
2020-06-08,19.0,0.0,555.0
2020-06-09,7.0,3.0,579.0
2020-06-10,7.0,0.0,518.0
2020-06-11,2.0,0.0,740.0
2020-06-12,31.0,0.0,440.0
2020-06-13,33.0,0.0,613.0
2020-06-14,43.0,2.0,606.0
2020-06-15,8.0,0.0,539.0
2020-06-16,41.0,0.0,487.0
2020-06-17,11.0,1.0,364.0
2020-06-18,10.0,0.0,456.0
2020-06-19,14.0,7.0,561.0
2020-06-20,6.0,7.0,659.0
2020-06-21,21.0,0.0,942.0
2020-06-22,16.0,0.0,652.0
2020-06-23,15.0,0.0,624.0
